date Germany India Singapore Norway Netherlands
2021-09-15 4101931 33347325 73938 179450 2016106
2021-09-16 4114856 33381728 74848 180432 2018363
2021-09-17 4125878 33417390 75783 181195 2020461
2021-09-18 4134779 33448163 76792 181765 2022206
2021-09-19 4142116 33478419 77804 182239 2023609
2021-09-20 4145852 33504534 78721 182918 2025356
2021-09-21 4150516 33531498 79899 183402 2027386
2021-09-22 4160970 33563421 81356 184609 2029298
2021-09-23 4171666 33594803 82860 185330 2031090
2021-09-24 4181393 33624419 84510 186035 2032774
2021-09-25 4188604 33652745 85953 186554 2034465
2021-09-26 4196378 33678786 87892 186935 2035906
2021-09-27 4199400 33697581 89539 187593 2037687
2021-09-28 4203571 33716451 91775 188295 2039554
2021-09-29 4215351 33739980 94043 188850 2041333
2021-09-30 4227501 33766707 96521 189431 2043142
2021-10-01 4237619 33791061 99430 189915 2044898
2021-10-02 4246136 33813903 101786 190224 2046582
2021-10-03 4252300 33834702 103843 190533 2048255
2021-10-04 4255388 33853048 106318 191017 2050190
2021-10-05 4260187 33871881 109804 191599 2052145
2021-10-06 4271734 33894312 113381 192079 2054972
2021-10-07 4283378 33915569 116864 192587 2057813
2021-10-08 4293807 33935309 120454 193054 2060392
2021-10-09 4302661 33953475 124157 193275 2062706
2021-10-10 4310273 33971607 126966 193562 2065453
2021-10-11 4313384 33985920 129229 193734 2068398
2021-10-12 4318355 34001743 132205 194630 2072199
2021-10-13 4330258 34020730 135395 195029 2075878
2021-10-14 4342640 34037592 138327 195385 2079658
2021-10-15 4354158 34053573 141772 195808 2083391
2021-10-16 4365107 34067719 145120 196142 2087116
2021-10-17 4373789 34081315 148178 196351 2090498
2021-10-18 4377845 34094373 150731 196896 2094417
2021-10-19 4384616 34108996 154725 197504 2099044
2021-10-20 4401631 34127450 158587 198161 2104298
2021-10-21 4417708 34143236 162026 198909 2110201
2021-10-22 4437280 34159562 165663 199550 2115912
2021-10-23 4452425 34175468 169261 200093 2122226
2021-10-24 4466157 34189774 172644 200517 2127543
2021-10-25 4472730 34202202 175818 201410 2133303
2021-10-26 4483203 34215653 179095 202554 2140627
2021-10-27 4506415 34231809 184419 203734 2148354
2021-10-28 4534452 34246157 187851 204730 2155772
2021-10-29 4559120 34260470 192099 205855 2163752
2021-10-30 4580663 34273300 195211 206653 2171966
2021-10-31 4597550 34285814 198374 207280 2179684
2021-11-01 4607208 34296237 200844 208615 2187437
2021-11-02 4618021 34308140 204340 210241 2196575
2021-11-03 4638419 34321025 207975 211755 2206812
2021-11-04 4672368 34333754 210978 213289 2217764
2021-11-05 4709488 34344683 212745 214795 2229770
2021-11-06 4743490 34355509 215780 215857 2241156
2021-11-07 4767033 34366987 218333 216855 2252987
2021-11-08 4782546 34377113 220803 218387 2264297
2021-11-09 4804378 34388579 224200 220513 2276956
2021-11-10 4844054 34401670 227681 222296 2293318
2021-11-11 4894250 34414186 230077 224302 2309589
2021-11-12 4942890 34426036 233176 226064 2323474
2021-11-13 4987971 34437307 235480 227370 2335547
2021-11-14 5021469 34447536 237203 228526 2354772
2021-11-15 5045076 34456401 239272 229309 2374970
2021-11-16 5077124 34466598 241341 232839 2395772
2021-11-17 5129950 34478517 244815 235314 2419406
2021-11-18 5195321 34489623 244815 237739 2440482
2021-11-19 5248291 34499925 248587 240103 2462333
2021-11-20 5312215 34510413 250518 241441 2483042
2021-11-21 5354942 34518901 252188 242911 2506086
2021-11-22 5385585 34526480 253649 245302 2529064
2021-11-23 5430911 34535763 255431 246822 2552859
2021-11-24 5497795 34544882 257510 251397 2575117
2021-11-25 5573756 34555431 258785 254367 2596450
2021-11-26 5650170 34563749 259875 257309 2618552
2021-11-27 5717295 34572523 261636 259200 2640725
2021-11-28 5761696 34580832 262383 260921 2662207
2021-11-29 5791060 34587822 263486 263798 2684401
2021-11-30 5836813 34596776 264725 267843 2702972
2021-12-01 5903999 34606541 266049 271623 2726095
2021-12-02 5977208 34615757 267150 275763 2747685
2021-12-03 6051560 34624360 267916 279954 2770365
2021-12-04 6116070 34624360 268659 282918 2793480
2021-12-05 6158125 34641561 269211 284448 2814492
2021-12-06 6185961 34648383 269873 287123 2832432
2021-12-07 6222020 34656822 270588 294754 2850564
2021-12-08 6291621 34666241 271297 300013 2870367
2021-12-09 6362232 34674643 271979 305368 2887930
2021-12-10 6423520 34682633 272433 310781 2905694
2021-12-11 6477217 34690510 272992 314258 2922330
2021-12-12 6509863 34697860 273362 317880 2936161
2021-12-13 6531606 34703644 273701 317880 2948930
2021-12-14 6562429 34710628 274143 328747 2962514
2021-12-15 6613730 34718602 274617 334488 2978915
2021-12-16 6670407 34726049 274972 339008 2994376
2021-12-17 6721375 34726049 275384 343697 3009058
2021-12-18 6764188 34733194 275655 347402 3022405
2021-12-19 6793536 34746838 275910 350424 3034622
2021-12-20 6809622 34752164 276105 354465 3044025
2021-12-21 6833050 34758481 276385 359264 3057549
2021-12-22 6878709 34765976 276720 363554 3071231
2021-12-23 6923636 34772626 277042 367866 3084017
2021-12-24 6959067 34779815 277307 370134 3097098
2021-12-25 6981281 34786802 277555 372123 3109440
2021-12-26 6991381 34793333 277764 374337 3121190
2021-12-27 7005289 34799691 278044 378087 3130822
2021-12-28 7026369 34808886 278409 382789 3147507
2021-12-29 7066412 34822040 278750 387196 3163542
2021-12-30 7109182 34838804 279061 391214 3181596
2021-12-31 7150422 34861579 279405 394259 3198704
2022-01-01 7176814 34889132 279861 396415 3217646
2022-01-02 7189329 34922882 280290 399318 3233140
2022-01-03 7207847 34960261 280754 404551 3252649
2022-01-04 7238408 35018358 281596 412472 3279437
2022-01-05 7297320 35109286 282401 420857 3306721
2022-01-06 7361660 35226386 283214 428736 3344040
2022-01-07 7417995 35368372 283214 434896 3374488
2022-01-08 7473884 35528004 284802 440184 3408735
2022-01-09 7510436 35707727 285647 444368 3438179
2022-01-10 7535691 35875790 286397 450908 3468379
2022-01-11 7581381 36070510 287243 460530 3502126
2022-01-12 7661811 36317927 288125 472355 3537795
2022-01-13 7743228 36582129 289085 483952 3574787
2022-01-14 7835451 36850962 290030 496312 3609340
2022-01-15 7913473 37122164 290986 504789 3646279
2022-01-16 7965977 37380253 291849 512393 3689011
2022-01-17 8000122 37618271 293014 523424 3690448
2022-01-18 8074527 37901241 294462 538791 3760998
2022-01-19 8186850 38218773 296077 554778 3801409
2022-01-20 8320386 38566027 297549 571655 3860272
2022-01-21 8460546 38903731 307813 596613 3907184
2022-01-22 8596007 39237264 310276 609950 3973076
2022-01-23 8681447 39543328 313772 622596 4038129
2022-01-24 8744840 39799202 316774 641138 4092539
2022-01-25 8871795 40085116 322770 665567 4151652
2022-01-26 9035795 40371500 327602 690244 4216631
2022-01-27 9238931 40622709 333071 714532 4291147
2022-01-28 9429079 40858241 338625 736051 4330881
2022-01-29 9618245 41092522 343832 751021 4406331
2022-01-30 9737215 41302440 348330 765061 4518767
2022-01-31 9815533 41469499 352811 781049 4624716
2022-02-01 9978146 41630885 359075 804286 4692028
2022-02-02 10186644 41803318 362176 827585 4775147
2022-02-03 10422764 41952712 366473 849389 4844257
2022-02-04 10671602 42080664 379681 870245 4884578
2022-02-05 10889417 42188138 379681 883388 4979650
2022-02-06 11022590 42272014 390071 893560 5057376
2022-02-07 11117857 42339611 405629 911212 5437874
2022-02-08 11287428 42410976 418640 937321 5524628
2022-02-09 11521678 42478060 428954 962407 5611596
2022-02-10 11769540 42536137 439640 986855 5692388
2022-02-11 12009712 42586544 449570 1009926 5762879
2022-02-12 12219501 42631421 460075 1024379 5823167
2022-02-13 12344661 42665534 469495 1035753 5878252
2022-02-14 12421126 42692943 478577 1049811 5931816
2022-02-15 12580343 42723558 497997 1068686 5995805
2022-02-16 12800315 42754315 514880 1086614 6052272
2022-02-17 13035941 42780235 533425 1103956 6101680
2022-02-18 13255989 42802505 551519 1119204 6135372
2022-02-19 13445094 42822473 576355 1128763 6171884
2022-02-20 13563126 42838524 582638 1136409 6207905
2022-02-21 13636993 42851929 596261 1151288 6242623
2022-02-22 13762895 42867031 622293 1169037 6242693
2022-02-23 13971947 42881179 642605 1186422 6283336
2022-02-24 14188269 42894345 661198 1202017 6324585
2022-02-25 14399012 42905844 679795 1217306 6362177
2022-02-26 14574845 42916117 696652 1225866 6395100
2022-02-27 14682758 42924130 710880 1231766 6422501
2022-02-28 14745107 42931045 724424 1242160 6451397
2022-03-01 14867218 42938599 748504 1257079 6487920
2022-03-02 15053624 42945160 767663 1279169 6536471
2022-03-03 15264297 42951556 785825 1289884 6594832
2022-03-04 15481890 42957477 803389 1299549 6663249
2022-03-05 15674100 42962953 819663 1305006 6730457
2022-03-06 15790989 42967315 832821 1308342 6797256
2022-03-07 15869417 42971308 846341 1315692 6861716
2022-03-08 16026216 42975883 846341 1325909 6928013
2022-03-09 16242070 42980067 885593 1333793 7002259
2022-03-10 16504822 42984261 901758 1341163 7076777
2022-03-11 16757658 42987875 917103 1346777 7146301
2022-03-12 16994744 42990991 929735 1349971 7206350
2022-03-13 17141351 42993494 939436 1351883 7258692
2022-03-14 17233729 42996062 948478 1357280 7304612
2022-03-15 17432617 42998938 964329 1363406 7357595
2022-03-16 17695210 43001477 975607 1368165 7417982
2022-03-17 17990141 43004005 986320 1372340 7471677
2022-03-18 18287986 43006080 996914 1376239 7526190
2022-03-19 18548225 43007841 1007158 1378238 7567650
2022-03-20 18680017 43009390 1015017 1379467 7602473
2022-03-21 18772331 43010971 1022555 1383227 7634694
2022-03-22 18994411 43012749 1035721 1387034 7675252
2022-03-23 19278143 43014687 1044661 1390035 7718040
2022-03-24 19596530 43016372 1053139 1393061 7757138
2022-03-25 19893028 43018032 1060723 1395556 7792582
2022-03-26 20145054 43019453 1067157 1396911 7820824
2022-03-27 20256278 43020723 1067157 1397638 7845856
2022-03-28 20323779 43021982 1072005 1399714 7867412
2022-03-29 20561131 43023215 1085094 1402219 7898395
2022-03-30 20829608 43024440 1090823 1404207 7926384
2022-03-31 21357095 43025775 1096428 1405960 7951853
2022-04-01 21357039 43027035 1101438 1407422 7974049
2022-04-02 21553495 43028131 1106001 1408257 7991000
2022-04-03 21668677 43029044 1109744 1408708 8003377
2022-04-04 21668677 43029839 1109744 1410051 8014427
2022-04-05 21849074 43030925 1119419 1411550 8028475
2022-04-06 22265788 43031958 1123886 1412969 8041708
2022-04-07 22441051 43033067 1128155 1413957 8054589
2022-04-08 22591726 43034217 1132169 1414993 8066022
2022-04-09 22647197 43035271 1135428 1415609 8075930
2022-04-10 22677986 43036132 1138001 1415928 8083108
2022-04-11 22878428 43036928 1140569 1416712 8089752
2022-04-12 23017079 43038016 1145121 1417631 8096401
2022-04-13 23182447 43039023 1148656 1418431 8101578
2022-04-14 23339311 43039972 1152177 1418814 8106357
2022-04-15 23376879 43040947 1155581 1419096 8110496
2022-04-16 23416663 43042097 1157251 1419507 8114337
2022-04-17 23437145 43044280 1160300 1419729 8117175
2022-04-18 23459628 43045527 1162780 1420033 8119285
2022-04-19 23658211 43047594 1167498 1420750 8121967
2022-04-20 23844536 43049974 1170970 1421691 8125697
2022-04-21 24006254 43052425 1174390 1422583 8128733
2022-04-22 24141333 43054952 1177415 1423220 8131494
2022-04-23 24180512 43057545 1180124 1423509 8133776
2022-04-24 24200596 43060086 1182168 1423629 8135366
2022-04-25 24337394 43060097 1184226 1424180 8136891
2022-04-26 24337394 43065496 1187914 1424672 8138755
2022-04-27 24609159 43068799 1187914 1425079 8140717
2022-04-28 24710769 43072176 1187914 1425464 8141965
2022-04-29 24798067 43075864 1193250 1425809 8144000
2022-04-30 24809785 43079188 1193250 1426013 8145596
2022-05-01 24813817 43082345 1193250 1426128 8146887
2022-05-02 24927339 43084913 1200976 1426491 8148198
2022-05-03 25033970 43088118 1202546 1426798 8150001
2022-05-04 25130137 43091393 1202546 1427148 8151922
2022-05-05 25215210 43094938 1208917 1427485 8153591
2022-05-06 25287462 43098743 1212337 1427790 8155118
2022-05-07 25295950 43102194 1215499 1427956 8156837
2022-05-08 25299300 43105401 1217922 1428010 8158071
2022-05-09 25406868 43107689 1220193 1428335 8159227
2022-05-10 25503878 43110586 1225024 1428699 8160810
2022-05-11 25592839 43113413 1228914 1429064 8162498
2022-05-12 25661838 43116254 1232559 1429353 8163926
2022-05-13 25723697 43119112 1236850 1429630 8165892
2022-05-14 25729848 43121599 1240233 1429717 8167219
2022-05-15 25732153 43123801 1242884 1429771 8168227
2022-05-16 25818405 43125370 1245007 1430124 8169091
2022-05-17 25890456 43127199 1247671 1430173 8170403
2022-05-18 25949175 43129563 1254113 1430531 8171992
2022-05-19 25998085 43131822 1258691 1430844 8173428
2022-05-20 26040460 43134145 1263033 1431126 8175239
2022-05-21 26044283 43136371 1266808 1431233 8176417
2022-05-22 26045528 43138393 1269635 1431291 8177181
2022-05-23 26109965 43140068 1272386 1431697 8177944
2022-05-24 26159106 43142192 1278113 1431991 8179134
2022-05-25 26198811 43144820 1282280 1432335 8180573
2022-05-26 26200663 43147530 1286216 1432443 8181630
2022-05-27 26240639 43150215 1290046 1432687 8183245
2022-05-28 26243352 43153043 1293369 1432831 8184136
2022-05-29 26244107 43155749 1295920 1432888 8184962
2022-05-30 26305996 43158087 1298309 1433262 8185964
2022-05-31 26360953 43160832 1303294 1433641 8187211
2022-06-01 26409455 43164544 1306871 1433986 8189023
2022-06-02 26452148 43168585 1310616 1434273 8190558
2022-06-03 26493235 43172547 1313849 1434653 8192641
2022-06-04 26493235 43176817 1316728 1434750 8194254
2022-06-05 26496611 43181335 1318984 1434799 8195493
2022-06-06 26498361 43185049 1321146 1434896 8196517
2022-06-07 26583016 43190282 1325623 1435285 8198019
2022-06-08 26660652 43197522 1329225 1435512 8200146
2022-06-09 26738530 43205106 1332656 1436118 8202575
2022-06-10 26803867 43213435 1335625 1436598 8205566
